,lon,lat,alt,Fairway,Green
6,0.0,81.17346938729497,316.118774414,1.0,0.0
7,0.0,79.28571428598019,316.478759766,1.0,0.0
8,0.0,77.39795918387671,316.818756104,1.0,0.0
9,0.0,75.51020408177322,317.012390137,1.0,0.0
10,0.0,73.62244897966974,317.012390137,1.0,0.0
11,0.0,71.73469387756626,316.992401123,1.0,0.0
12,0.0,69.84693877546277,316.972381592,1.0,0.0
13,0.0,67.95918367335929,316.786102295,1.0,0.0
14,0.0,66.07142857125581,316.566101074,1.0,0.0
15,0.0,64.18367346915232,316.406097412,1.0,0.0
16,0.0,62.29591836704884,316.286102295,1.0,0.0
17,0.0,60.40816326494536,316.197509766,1.0,0.0
18,0.0,58.520408162841875,316.137512207,1.0,0.0
19,0.0,56.632653061527094,316.037506104,1.0,0.0
20,0.0,54.74489795942361,315.957519531,1.0,0.0
21,0.0,52.85714285732013,315.917510986,1.0,0.0
22,0.0,50.969387755216644,315.815643311,1.0,0.0
23,0.0,49.08163265311316,315.675628662,1.0,0.0
24,0.0,47.19387755100968,315.515625,1.0,0.0
25,0.0,45.306122448906194,315.335632324,1.0,0.0
26,0.0,43.41836734680271,315.114318848,1.0,0.0
54,13.342267918456155,84.94897959150194,316.029693604,1.0,0.0
55,13.342267918456155,83.06122448939846,316.044616699,1.0,0.0
56,13.342267918456155,81.17346938729497,316.044616699,1.0,0.0
57,13.342267918456155,79.28571428598019,316.224609375,1.0,0.0
58,13.342267918456155,77.39795918387671,316.484619141,1.0,0.0
59,13.342267918456155,75.51020408177322,316.580322266,1.0,0.0
60,13.342267918456155,73.62244897966974,316.600341797,1.0,0.0
61,13.342267918456155,71.73469387756626,316.440338135,1.0,0.0
62,13.342267918456155,69.84693877546277,316.160339355,1.0,0.0
63,13.342267918456155,67.95918367335929,315.883300781,1.0,0.0
64,13.342267918456155,66.07142857125581,315.623321533,1.0,0.0
65,13.342267918456155,64.18367346915232,315.44329834,1.0,0.0
66,13.342267918456155,62.29591836704884,315.323303223,1.0,0.0
67,13.342267918456155,60.40816326494536,315.263305664,1.0,0.0
68,13.342267918456155,58.520408162841875,315.211425781,1.0,0.0
69,13.342267918456155,56.632653061527094,315.191436768,1.0,0.0
70,13.342267918456155,54.74489795942361,315.191436768,1.0,0.0
71,13.342267918456155,52.85714285732013,315.191436768,1.0,0.0
72,13.342267918456155,50.969387755216644,315.149993896,1.0,0.0
73,13.342267918456155,49.08163265311316,314.969970703,1.0,0.0
74,13.342267918456155,47.19387755100968,314.829986572,1.0,0.0
75,13.342267918456155,45.306122448906194,314.689971924,1.0,0.0
76,13.342267918456155,43.41836734680271,314.620666504,1.0,0.0
102,26.68453583691231,88.7244897957089,316.923919678,1.0,0.0
103,26.68453583691231,86.83673469360542,316.863922119,1.0,0.0
104,26.68453583691231,84.94897959150194,316.923919678,1.0,0.0
105,26.68453583691231,83.06122448939846,316.965545654,1.0,0.0
106,26.68453583691231,81.17346938729497,316.985565186,1.0,0.0
107,26.68453583691231,79.28571428598019,317.005554199,1.0,0.0
108,26.68453583691231,77.39795918387671,317.005554199,1.0,0.0
109,26.68453583691231,75.51020408177322,316.982513428,1.0,0.0
110,26.68453583691231,73.62244897966974,316.9425354,1.0,0.0
111,26.68453583691231,71.73469387756626,316.922515869,1.0,0.0
112,26.68453583691231,69.84693877546277,316.842529297,1.0,0.0
113,26.68453583691231,67.95918367335929,316.582946777,1.0,0.0
114,26.68453583691231,66.07142857125581,316.422943115,1.0,0.0
115,26.68453583691231,64.18367346915232,315.922943115,1.0,0.0
116,26.68453583691231,62.29591836704884,315.482940674,1.0,0.0
117,26.68453583691231,60.40816326494536,315.122955322,1.0,0.0
118,26.68453583691231,58.520408162841875,314.901519775,1.0,0.0
119,26.68453583691231,56.632653061527094,314.781524658,1.0,0.0
120,26.68453583691231,54.74489795942361,314.64151001,1.0,0.0
121,26.68453583691231,52.85714285732013,314.521514893,1.0,0.0
122,26.68453583691231,50.969387755216644,314.351593018,1.0,0.0
123,26.68453583691231,49.08163265311316,314.251586914,1.0,0.0
124,26.68453583691231,47.19387755100968,314.091583252,1.0,0.0
125,26.68453583691231,45.306122448906194,313.971588135,1.0,0.0
126,26.68453583691231,43.41836734680271,313.856811523,1.0,0.0
127,26.68453583691231,41.53061224469923,313.776794434,1.0,0.0
150,40.02680375536846,92.49999999991587,317.108947754,1.0,0.0
151,40.02680375536846,90.61224489781239,317.111175537,1.0,0.0
152,40.02680375536846,88.7244897957089,317.171173096,1.0,0.0
153,40.02680375536846,86.83673469360542,317.151153564,1.0,0.0
