0,1,2
-84.22777777777777,34.08027777777778,315.745086670
-84.22777777777777,34.08026077097506,315.625091553
-84.22777777777777,34.08024376417234,315.565093994
-84.22777777777777,34.080226757369616,315.545104980
-84.22777777777777,34.080209750566894,315.565093994
-84.22777777777777,34.08019274376417,315.818756104
-84.22777777777777,34.08017573696145,316.118774414
-84.22777777777777,34.080158730158736,316.478759766
-84.22777777777777,34.080141723356014,316.818756104
-84.22777777777777,34.08012471655329,317.012390137
-84.22777777777777,34.08010770975057,317.012390137
-84.22777777777777,34.08009070294785,316.992401123
-84.22777777777777,34.08007369614513,316.972381592
-84.22777777777777,34.080056689342406,316.786102295
-84.22777777777777,34.080039682539685,316.566101074
-84.22777777777777,34.08002267573696,316.406097412
-84.22777777777777,34.08000566893424,316.286102295
-84.22777777777777,34.07998866213152,316.197509766
-84.22777777777777,34.0799716553288,316.137512207
-84.22777777777777,34.07995464852608,316.037506104
-84.22777777777777,34.07993764172336,315.957519531
-84.22777777777777,34.07992063492064,315.917510986
-84.22777777777777,34.07990362811792,315.815643311
-84.22777777777777,34.0798866213152,315.675628662
-84.22777777777777,34.079869614512475,315.515625000
-84.22777777777777,34.07985260770975,315.335632324
-84.22777777777777,34.07983560090703,315.114318848
-84.22777777777777,34.07981859410431,314.894348145
-84.22777777777777,34.07980158730159,314.474334717
-84.22777777777777,34.07978458049887,314.214324951
-84.22777777777777,34.079767573696145,313.873992920
-84.22777777777777,34.07975056689343,313.713989258
-84.22777777777777,34.07973356009071,313.393981934
-84.22777777777777,34.07971655328799,313.033996582
-84.22777777777777,34.079699546485266,312.993988037
-84.22777777777777,34.079682539682544,312.993988037
-84.22777777777777,34.07966553287982,312.993988037
-84.22777777777777,34.0796485260771,312.993988037
-84.22777777777777,34.07963151927438,312.993988037
-84.22777777777777,34.07961451247166,312.993988037
-84.22777777777777,34.079597505668936,312.993988037
-84.22777777777777,34.079580498866214,312.993988037
-84.22777777777777,34.07956349206349,312.993988037
-84.22777777777777,34.07954648526078,312.993988037
-84.22777777777777,34.079529478458056,312.993988037
-84.22777777777777,34.079512471655335,312.993988037
-84.22777777777777,34.07949546485261,312.993988037
-84.22777777777777,34.07947845804989,312.993988037
-84.22777777777777,34.07946145124717,312.993988037
-84.22777777777777,34.07944444444445,312.993988037
-84.22763265306122,34.08027777777778,316.462890625
-84.22763265306122,34.08026077097506,316.409698486
-84.22763265306122,34.08024376417234,316.269683838
-84.22763265306122,34.080226757369616,316.089691162
-84.22763265306122,34.080209750566894,316.029693604
-84.22763265306122,34.08019274376417,316.044616699
-84.22763265306122,34.08017573696145,316.044616699
-84.22763265306122,34.080158730158736,316.224609375
-84.22763265306122,34.080141723356014,316.484619141
-84.22763265306122,34.08012471655329,316.580322266
-84.22763265306122,34.08010770975057,316.600341797
