0,1,2
-84.22410959573504,34.07998986665458,314.680511475
-84.22410959573504,34.0799947996081,314.860534668
-84.22410959573504,34.079999732561625,315.060516357
-84.22410959573504,34.08000466551515,315.060516357
-84.22410254113679,34.07976295079248,314.053985596
-84.22410254113679,34.079767883746,314.376831055
-84.22410254113679,34.079772816699524,314.376831055
-84.22410254113679,34.07977774965305,314.396850586
-84.22410254113679,34.07978268260657,314.376831055
-84.22410254113679,34.0797876155601,314.376831055
-84.22410254113679,34.07979254851362,314.376831055
-84.22410254113679,34.079797481467146,314.376831055
-84.22410254113679,34.07980241442067,314.356842041
-84.22410254113679,34.07980734737419,314.356842041
-84.22410254113679,34.079812280327715,314.356842041
-84.22410254113679,34.07981721328124,314.356842041
-84.22410254113679,34.07982214623476,314.356842041
-84.22410254113679,34.07982707918829,314.356842041
-84.22410254113679,34.079832012141814,314.356842041
